,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,source_article,updated_label,masked_articles
17,17,17,17,17,17,17,17,17,1281,Encampment is like basic training. It’s CAP’s equivalent to Boot Camp.,fallacy of logic,MSK<0> is like basic training . MSK<0> ’s CAP ’s equivalent to Boot Camp . 
18,18,18,18,18,18,18,18,18,973,We cannot listen to John’s opinion on global warming because he is a tree hugger.,ad hominem,We can not listen to John ’s opinion on global warming because he is a tree hugger . 
19,19,19,19,19,19,19,19,19,2118,Kerry’s plan will raise taxes by at least $900 billion his first hundred days.,intentional,Kerry ’s plan will raise taxes by at least $ 900 billion his first hundred days . 
20,20,20,20,20,20,20,20,20,609,Repeating the same thing as if you’re proving something,circular reasoning,Repeating the same thing as if you ’re proving something 
21,21,21,21,21,21,21,21,21,820,"""I'm gonna get an iPhone because everybody else has an iPhone and they're cool.""",ad populum,""" I 'm gon na get MSK<0> because MSK<1> has MSK<0> and MSK<1> 're cool . "" "
22,22,22,22,22,22,22,22,22,1917,"""Russia has a terrible human rights record.""
""Well, the United States has done plenty of bad things, but we aren't a bad country, so Russia isn't, either."" -the President when confronted about Russia's human rights abuses.",fallacy of relevance,""" MSK<0> has a MSK<3> MSK<2> record . "" "" Well , the United States has done plenty of MSK<3> things , but we are n't a MSK<3> country , so MSK<0> is n't , either . "" - the President when confronted about MSK<0> MSK<2> abuses . "
23,23,23,23,23,23,23,23,23,642,"""The Philippines is in poverty because of poor people.""",circular reasoning,""" The Philippines is in poverty because of poor people . "" "
24,24,24,24,24,24,24,24,24,1763,"Thomas: ""Dating apps are an effective way to meet potential dates. With people's busy work schedules nowadays, technology can help you make connections.""
Nina: ""Dating apps are dangerous! Most people are catfished, and guys usually pretend to be so much better than they really are online. If we're so busy, we won't have time for any of that, anyway.""
What fallacy is Nina leaning toward?",fallacy of extension,"Thomas : "" MSK<0> MSK<1> are an effective way to meet potential MSK<0> . With MSK<2> 's MSK<3> work schedules nowadays , technology can help you make connections . "" MSK<4> : "" MSK<0> MSK<1> are dangerous ! Most MSK<2> are catfished , and MSK<5> usually pretend to be so much better than MSK<5> really are online . If MSK<6> 're so MSK<3> , MSK<6> wo n't have time for any of that , anyway . "" What fallacy is MSK<4> leaning toward ? "
25,25,25,25,25,25,25,25,25,1865,"""My opponent claims that water pollution is endangering our city waters. But have you thought about all of the air pollution in China? Where they have to wear masks sometimes in the city? That's what we really need to worry about.""",fallacy of relevance,""" My opponent claims that MSK<0> is endangering our MSK<1> waters . But have you thought about all of MSK<0> in China ? Where they have to wear masks sometimes in the MSK<1> ? That 's what we really need to worry about . "" "
26,26,26,26,26,26,26,26,26,1049,"""You're a Westener and you're an idiot.""",ad hominem,""" MSK<0> 're a Westener and MSK<0> 're an idiot . "" "
27,27,27,27,27,27,27,27,27,1162,Researchers are frauds who don’t earn their salaries,ad hominem,MSK<0> are frauds who do n’t earn MSK<0> salaries 
28,28,28,28,28,28,28,28,28,47,The child did not do his chores so therefore all children are lazy.,faulty generalization,MSK<0> did not do MSK<0> chores so therefore all children are lazy . 
29,29,29,29,29,29,29,29,29,1189,"Having come from the same political party, he is sure to communicate biased and untrue claims about his party-mates",ad hominem,"Having come from the same political MSK<0> , MSK<1> is sure to communicate biased and untrue claims about MSK<1> MSK<0> - mates "
30,30,30,30,30,30,30,30,30,196,I would never buy a Buick. My father owned two of them and both of them had frequent transmission problems. Buicks obviously break down all the time.,faulty generalization,MSK<0> would never buy a MSK<1> . MSK<0> father owned two of MSK<2> and both of MSK<2> had frequent transmission problems . MSK<1> obviously break down all the time . 
31,31,31,31,31,31,31,31,31,661,"“We must accept the traditions of the men of old time who affirm themselves to be the offspring of the gods - that is what they say - and they must surely have known their own ancestors. How can we doubt the word of the children of the gods?” - Plato, Timaeus",circular reasoning,"MSK<3> MSK<0> must accept the traditions of the men of old time who affirm themselves to be the offspring of MSK<1> - that is what MSK<2> say - and MSK<2> must surely have known MSK<2> own ancestors . How can MSK<0> doubt the word of the children of MSK<1> ? MSK<3> - Plato , Timaeus "
32,32,32,32,32,32,32,32,32,708,Has your psychology department stopped teaching that ineffective approach to therapy yet?,circular reasoning,Has your psychology department stopped teaching that ineffective approach to therapy yet ? 
33,33,33,33,33,33,33,33,33,2030,"Bill: Hey, did you hear we have a new operating system out now?  It is better than anything else out there because we just released it!
Steve: What’s it called?
Bill: Windows Vista!
Steve: Sounds wonderful!  I can’t wait until all of your users install it on all their computers!
",fallacy of credibility,"MSK<0> : Hey , did MSK<0> hear MSK<1> have a new operating system out now ? MSK<2> is better than anything else out there because MSK<1> just released MSK<2> ! MSK<3> : What ’s MSK<2> called ? MSK<0> : Windows Vista ! MSK<3> : Sounds wonderful ! I ca n’t wait until MSK<4> MSK<0> install MSK<2> on all MSK<4> computers ! "
34,34,34,34,34,34,34,34,34,1491,It takes faith to believe in God just like it takes faith to believe in the Easter Bunny -- but at least the Easter Bunny is based on a creature that actually exists!,appeal to emotion,MSK<0> takes MSK<1> to MSK<2> in God just like MSK<0> takes MSK<1> to MSK<2> in MSK<3> -- but at least MSK<3> is based on a creature that actually exists ! 
35,35,35,35,35,35,35,35,35,1888,"When asked about his comments Trump made on his tape with Billy Bush, Trump responded, “It’s locker room talk, and it’s one of those things. I will knock the hell out of ISIS. We’re going to defeat ISIS. ISIS happened a number of years ago in a vacuum that was left because of bad judgment. And I will tell you, I will take care of ISIS.”",fallacy of relevance,"When asked about MSK<0> comments MSK<0> made on MSK<0> tape with Billy Bush , MSK<0> responded , MSK<4> MSK<1> ’s locker room talk , and MSK<1> ’s one of those things . MSK<2> will knock the hell out of MSK<3> . We ’re going to defeat MSK<3> . MSK<3> happened a number of years ago in a vacuum that was left because of bad judgment . And MSK<2> will tell you , MSK<2> will take care of MSK<3> . MSK<4> "
36,36,36,36,36,36,36,36,36,510,"""Truly helps cramming for a test: my psychological test is crowded and I have an A.""",false causality,""" Truly helps cramming for a MSK<0> : MSK<1> psychological MSK<0> is crowded and MSK<1> have an A. "" "
37,37,37,37,37,37,37,37,37,876,"assumes that if many people act or believe a certain way, it must be the right way",ad populum,"assumes that if many people act or believe a certain MSK<0> , it must be the right MSK<0> "
38,38,38,38,38,38,38,38,38,120,"We should go inside; the last time the clouds were that dark, there was a tornado.",faulty generalization,"We should go inside ; the last time the clouds were that dark , there was a tornado . "
39,39,39,39,39,39,39,39,39,781,Everyone is/is not doing it! It must/must not be a good thing!,ad populum,Everyone is / is not doing MSK<0> ! MSK<0> must / must not be a good thing ! 
40,40,40,40,40,40,40,40,40,1969,"An ad claims that 3 out of 4 real estate agents reccommend moving to Sunnyville, California.",fallacy of credibility,"An ad claims that MSK<0> out of MSK<0> real estate agents reccommend moving to Sunnyville , California . "
41,41,41,41,41,41,41,41,41,2149,Have you stopped cheating on tests?  To answer yes means you cheated before. To answer no means you continue to cheat.,intentional,Have MSK<0> stopped MSK<1> on tests ? To MSK<2> yes means MSK<0> MSK<1> before . To MSK<2> no means MSK<0> continue to MSK<1> . 
42,42,42,42,42,42,42,42,42,1059,"""You're too ugly to be class president!""",ad hominem,""" You 're too ugly to be class president ! "" "
43,43,43,43,43,43,43,43,43,2156,"Why should merely cracking down on terrorism help to stop it, when that method hasn't worked in any other country?",intentional,"Why should merely cracking down on terrorism help to stop it , when that method has n't worked in any other country ? "
44,44,44,44,44,44,44,44,44,822,40 million people can't be wrong! Buy the new Iphone XIV today!,ad populum,40 million people ca n't be wrong ! Buy the new Iphone XIV today ! 
45,45,45,45,45,45,45,45,45,1470,"If you love your family, you'll buy this new stealth
security system.",appeal to emotion,"If MSK<0> love MSK<0> family , MSK<0> 'll buy this new stealth security system . "
46,46,46,46,46,46,46,46,46,2154,How many school shootings should we tolerate before we change the gun laws?,intentional,How many school shootings should MSK<0> tolerate before MSK<0> change the gun laws ? 
47,47,47,47,47,47,47,47,47,1175,President Trump said that he was proud of the children who participated in this year's Special Olympics. Those kids are a bunch of losers.,ad hominem,MSK<0> said that MSK<0> was proud of the MSK<1> who participated in this year 's Special Olympics . Those MSK<1> are a bunch of losers . 
48,48,48,48,48,48,48,48,48,2011,Our competitors use unhealthy sugar substitutes and artificial sweeteners. But Rev-Up Energy Drink contains one hundred percent real cane sugar to fuel your body better.,fallacy of credibility,Our competitors use unhealthy MSK<0> substitutes and artificial MSK<0> . But Rev - Up Energy Drink contains one hundred percent real cane MSK<0> to fuel your body better . 
49,49,49,49,49,49,49,49,49,2247,"It’s possible to pass the class without attending regularly. Therefore, you will pass even if you don’t attend regularly.",fallacy of logic,"It ’s possible to MSK<0> the class without MSK<2> . Therefore , MSK<3> will MSK<0> even if MSK<3> do n’t MSK<2> . "
50,50,50,50,50,50,50,50,50,650,"""I shouldn't have flunked the test because I never get F's"" is an example of",circular reasoning,""" MSK<0> should n't have flunked the test because MSK<0> never get F 's "" is an example of "
51,51,51,51,51,51,51,51,51,230,"If I don't take this AP class, then I won't do well on the exam. If I don't do well on the AP exam, then I won't get into a good college. If I can't get into a good college, then I'll never get a good job. If I can't get a good job, then I'm going to have to live in my parents' basement forever. Guess I'll sign up for the AP class...",faulty generalization,"If MSK<0> do n't take MSK<1> , then MSK<0> wo n't do well on the MSK<2> . If MSK<0> do n't do well on the AP MSK<2> , then MSK<0> wo n't get into a MSK<4> . If MSK<0> ca n't get into a MSK<4> , then MSK<0> 'll never get MSK<5> . If MSK<0> ca n't get MSK<5> , then MSK<0> 'm going to have to live in MSK<0> parents ' basement forever . Guess MSK<0> 'll sign up for MSK<1> ... "
52,52,52,52,52,52,52,52,52,2255,I can’t take home a B in this course. My parents will be angry with me.,appeal to emotion,MSK<0> ca n’t take home a B in this course . MSK<0> parents will be angry with MSK<0> . 
53,53,53,53,53,53,53,53,53,2423,I don't see how you can say you're an ethical person. It's so hard to get you to do anything; your work ethic is so bad,equivocation,I do n't see how MSK<0> can say MSK<0> 're an ethical person . It 's so hard to get MSK<0> to do anything ; MSK<0> work ethic is so bad 
54,54,54,54,54,54,54,54,54,1869,"I don't think that there should be marriage among homosexuals. Anyway, taxes on married people are high. I think that taxes on the married are just ridiculous.",fallacy of relevance,"MSK<0> do n't MSK<1> that there should be marriage among homosexuals . Anyway , MSK<2> on MSK<3> people are high . MSK<0> MSK<1> that MSK<2> on the MSK<3> are just ridiculous . "
55,55,55,55,55,55,55,55,55,692,"""We need to fix our broken judicial system by electing new people.""
This logical fallacy is called...",circular reasoning,""" MSK<0> need to fix MSK<0> broken judicial system by electing new people . "" This logical fallacy is called ... "
56,56,56,56,56,56,56,56,56,2101,"Audrey: I am a human being. I am not a cyborg from the future here to destroy humanity.
Fred: Prove that you are human! Cyborgs don't pass out when they lose a lot of blood. Here's a knife.
Audrey: Get to bed, Freddie. And no more SYFY channel before bed!
",intentional,"MSK<0> : MSK<1> am a MSK<2> being . MSK<1> am not a cyborg from the future here to destroy humanity . Fred : Prove that you are MSK<2> ! MSK<3> do n't pass out when MSK<3> lose a lot of blood . Here 's a knife . MSK<0> : Get to MSK<4> , Freddie . And no more SYFY channel before MSK<4> ! "
57,57,57,57,57,57,57,57,57,228,"If you don't study, you'll fail your test. Then you will do poorly in the class and you GPA will fall. You won't get into a good college, so you'll never get a decent job and you'll end up poor and homeless.",faulty generalization,"If MSK<0> do n't study , MSK<0> 'll fail MSK<0> test . Then MSK<0> will do poorly in the class and MSK<0> GPA will fall . MSK<0> wo n't get into a good college , so MSK<0> 'll never get a decent job and MSK<0> 'll end up poor and homeless . "
58,58,58,58,58,58,58,58,58,202,"I know for a fact that ghosts exist. My friend, who is a very reliable person, has seen ghosts on many occasions.",faulty generalization,"MSK<0> know for a fact that MSK<1> exist . MSK<0> friend , who is a very reliable person , has seen MSK<1> on many occasions . "
59,59,59,59,59,59,59,59,59,1533,"If you don't say the Pledge of Allegiance, then you must be a traitor.",false dilemma,"If MSK<0> do n't say the Pledge of Allegiance , then MSK<0> must be a traitor . "
60,60,60,60,60,60,60,60,60,1253,Not believing in the Tooth Fairy is like denying that the Titanic sank because eye-witnesses did not agree if the ship broke in half before or after it sank.,fallacy of logic,Not believing in the Tooth Fairy is like denying that the Titanic MSK<0> because eye - witnesses did not agree if MSK<1> broke in half before or after MSK<1> MSK<0> . 
61,61,61,61,61,61,61,61,61,110,"All of my red-headed friends are good dancers. Therefore, all red-headed people must be good dancers. 
This assumption from my experience is an example of",faulty generalization,"All of MSK<0> MSK<1> - MSK<2> friends are MSK<4> . Therefore , all MSK<1> - MSK<2> people must be MSK<4> . This assumption from MSK<0> experience is an example of "
62,62,62,62,62,62,62,62,62,1002,"Louise is running for class president. In her campaign speech she says, ""My opponent does not deserve to win. She is a smoker and she cheated on her boyfriend last year."" What fallacy has Louise committed?
http://www.funtrivia.com",ad hominem,"MSK<0> is running for class president . In MSK<0> campaign speech MSK<0> says , "" MSK<0> opponent does not deserve to win . MSK<0> is a smoker and MSK<0> cheated on MSK<0> boyfriend last year . "" What fallacy has MSK<0> committed ? http://www.funtrivia.com "
63,63,63,63,63,63,63,63,63,1594,"Dana is trying to raise money for her university's library. In her address to the board of trustees, she says, ""We must raise tuition to cover the cost of new books. Otherwise the library will be forced to close.""

Of what fallacy is this an example?",false dilemma,"MSK<0> is trying to MSK<1> money for MSK<0> . In MSK<0> address to the board of trustees , MSK<0> says , "" We must MSK<1> tuition to cover the cost of new books . Otherwise coref1 will be forced to close . "" Of what fallacy is this an example ? "
64,64,64,64,64,64,64,64,64,2096,"Jack: I have tiny, invisible unicorns living in my anus.

Nick: How do you figure?

Jack: Can you prove that I don't?

Nick: No.

Jack: Then I do.",intentional,"MSK<0> : MSK<1> have tiny , invisible unicorns living in MSK<1> anus . MSK<2> : How do MSK<2> figure ? MSK<0> : Can MSK<2> prove that MSK<1> do n't ? MSK<2> : No . MSK<0> : Then MSK<1> do . "
65,65,65,65,65,65,65,65,65,1076,"How can you tell me I should exercise to lose weight? All you do is sit behind a desk all day. I've never seen you do a lick of exercise.

Identify the logical fallacy commited in this argument.",ad hominem,How can MSK<0> tell MSK<1> MSK<1> should MSK<2> to lose weight ? All MSK<0> do is sit behind a desk all day . MSK<0> 've never seen MSK<0> do a lick of MSK<2> . Identify the logical fallacy commited in this argument . 
66,66,66,66,66,66,66,66,66,829,"I am voting for Smith for President. My whole family is Democrat, so I'll be voting that way, too.",ad populum,"MSK<0> am MSK<1> for Smith for President . MSK<0> whole family is Democrat , so MSK<0> 'll be MSK<1> that way , too . "
67,67,67,67,67,67,67,67,67,2373,We must eliminate affirmative action. We can’t rely on laws to end racial prejudice.,fallacy of relevance,MSK<0> must eliminate affirmative action . MSK<0> ca n’t rely on laws to end racial prejudice . 
68,68,68,68,68,68,68,68,68,2141,"Your honor, while my son may have made a bad decision that night while under the influence of alcohol, it shouldn't affect the rest of his life. It was just one mistake. He's on the varsity swim team.",intentional,"Your honor , while my son may have made a bad decision that night while under the influence of alcohol , MSK<0> should n't affect the rest of MSK<1> life . MSK<0> was just one mistake . MSK<1> 's on the varsity swim team . "
69,69,69,69,69,69,69,69,69,2047,There is definitely a link between dementia and drinking energy drinks. I read about it on Wikipedia.,fallacy of credibility,There is definitely a link between MSK<0> and drinking energy drinks . I read about MSK<0> on Wikipedia . 
70,70,70,70,70,70,70,70,70,1583,"When a statement falsely claims or assumes an ""either / or"" situation, when in fact there is at least one additional logically valid option, it is called...",false dilemma,"When MSK<0> falsely claims or assumes an "" either / or "" situation , when in fact there is at least one additional logically valid option , MSK<0> is called ... "
71,71,71,71,71,71,71,71,71,2016,"Cocaine is all natural; therefore, it is good for you.",fallacy of credibility,"MSK<0> is all natural ; therefore , MSK<0> is good for you . "
72,72,72,72,72,72,72,72,72,891,The Freehold Raceway Mall is the best mall because there are always so many cars there.,ad populum,The Freehold Raceway MSK<0> is the best MSK<0> because there are always so many cars there . 
73,73,73,73,73,73,73,73,73,1872,SM 5: Argument regarding insanity as a defense against execution,fallacy of relevance,SM 5 : Argument regarding insanity as a defense against execution 
74,74,74,74,74,74,74,74,74,2221,"A: The Government should enact minimum-wage legislation so that workers are not exploited.
B: Nonsense. You say that only because you cannot find a good job.",ad hominem,A : The Government should enact minimum - wage legislation so that workers are not exploited . B : Nonsense . MSK<0> say that only because MSK<0> can not find a good job . 
75,75,75,75,75,75,75,75,75,2113,If you buy the Disney annual pass you will save money when visiting the happiest place on Earth!,intentional,If MSK<0> buy the Disney annual pass MSK<0> will save money when visiting the happiest place on Earth ! 
76,76,76,76,76,76,76,76,76,839,God must exist because every culture has some sort of belief in a higher being.,ad populum,God must exist because every culture has some sort of belief in a higher being . 
77,77,77,77,77,77,77,77,77,1249,"Kids: If you wouldn't eat your dog, why eat a turkey? Go vegan.",fallacy of logic,"Kids : If MSK<0> would n't MSK<1> MSK<0> dog , why MSK<1> a turkey ? Go vegan . "
78,78,78,78,78,78,78,78,78,2261,"If you aren’t a capitalist, you must be a communist.",false dilemma,"If MSK<0> are n’t a MSK<1> , MSK<0> must be a MSK<1> . "
79,79,79,79,79,79,79,79,79,2121,"My political candidate gives 10% of his income to the needy, goes to church every Sunday, and volunteers one day a week at a homeless shelter.  Therefore, he is honest and morally straight.",intentional,"MSK<0> gives 10 % of MSK<0> income to the needy , goes to church every Sunday , and volunteers one day a week at a homeless shelter . Therefore , MSK<0> is honest and morally straight . "
80,80,80,80,80,80,80,80,80,1348,"Most heroin users started out smoking pot. If you start smoking pot, you’ll end up a heroin user, too.",fallacy of logic,"Most MSK<1> MSK<2> out MSK<4> . If MSK<5> MSK<2> MSK<4> , MSK<5> ’ll end up a MSK<1> , too . "
81,81,81,81,81,81,81,81,81,1323,"The Earth is round.
Therefore, Trump.",fallacy of logic,"The Earth is round . Therefore , Trump . "
82,82,82,82,82,82,82,82,82,1405,We have a responsibility to care for this poor lost dog.,appeal to emotion,We have a responsibility to care for this poor lost dog . 
83,83,83,83,83,83,83,83,83,1153,Personally attacking someone to shift attention away from your views is,ad hominem,Personally attacking someone to shift attention away from your views is 
84,84,84,84,84,84,84,84,84,1434,Do you still beat your wife?,appeal to emotion,Do MSK<0> still beat MSK<0> wife ? 
85,85,85,85,85,85,85,85,85,1546,"""Be my friend or be my enemy.""",false dilemma,""" Be MSK<0> friend or be MSK<0> enemy . "" "
86,86,86,86,86,86,86,86,86,2398,10 of the last 14 National Spelling Bee Champions have been Indian American. Indian Americans must all be great spellers!,faulty generalization,10 of the last 14 National Spelling Bee Champions have been MSK<1> . MSK<1> must all be great spellers ! 
87,87,87,87,87,87,87,87,87,2337,"But, Dad, I know you smoked when you were my age, so how can you tell me not to do it?",ad hominem,"But , Dad , MSK<0> know MSK<1> smoked when MSK<1> were MSK<0> age , so how can MSK<1> tell MSK<0> not to do it ? "
88,88,88,88,88,88,88,88,88,1781,"""Many democrats don't want a border wall with Mexico, which means they don't want to keep Americans safe"" IS an example of this fallacy.",fallacy of extension,""" MSK<0> do n't MSK<1> a border wall with Mexico , which means MSK<0> do n't MSK<1> to keep Americans safe "" IS an example of this fallacy . "
89,89,89,89,89,89,89,89,89,1163,"Cat Stevens may be a successful and skilled musician, but let's not forget that he's been accused of extremist religious and political views.",ad hominem,"MSK<0> may be a successful and skilled musician , but let 's not forget that MSK<0> 's been accused of extremist religious and political views . "
90,90,90,90,90,90,90,90,90,1640,Pay taxes or go to jail,false dilemma,Pay taxes or go to jail 
91,91,91,91,91,91,91,91,91,588,"""I bought a ticket to win a new car at the mall, since I have never won anything like that in the past.""",false causality,""" MSK<0> bought MSK<1> to MSK<2> a new car at the mall , since MSK<0> have never MSK<2> anything like MSK<1> in the past . "" "
92,92,92,92,92,92,92,92,92,1989,"My friend said that if you sneeze more than three times, you have the corona virus.",fallacy of credibility,"My friend said that if MSK<0> sneeze more than three times , MSK<0> have the corona virus . "
93,93,93,93,93,93,93,93,93,2282,"I have no intention of stopping the use of somatostatin on patients suffering from acute pancreatitis. I consider it to be a very reasonable choice. After all, it has been standard practice in our department for many years and we’ve been quite satisfied with the results we’ve had.",fallacy of credibility,"MSK<0> have no intention of stopping MSK<1> . MSK<0> consider MSK<1> to be a very reasonable choice . After all , MSK<1> has been standard practice in MSK<2> department for many years and MSK<2> ’ve been quite satisfied with the results MSK<2> ’ve had . "
94,94,94,94,94,94,94,94,94,1092,A politician arguing that his opponent cannot possibly be a good choice for women because he has been married and divorced five times.,ad hominem,A politician arguing that MSK<0> opponent can not possibly be a good choice for women because MSK<0> has been married and divorced five times . 
95,95,95,95,95,95,95,95,95,579,Explaining that the U.S. Civil War was fought only because of the institution of slavery,false causality,Explaining that the U.S. Civil War was fought only because of the institution of slavery 
96,96,96,96,96,96,96,96,96,794,"Company R.E. are working on advertisement for a new juice drink. Some of their marketing employees went to a school to do a survey on students’ beverage preference. The majority said they preferred orange-flavored drinks, so Jeff told his superiors that orange was the flavor favored most by high school students.",ad populum,"Company R.E. are working on advertisement for a new juice MSK<0> . MSK<1> went to a MSK<2> to do a survey on MSK<3> ’ beverage preference . MSK<1> said MSK<1> preferred MSK<4> - MSK<5> MSK<0> , so MSK<6> told MSK<6> superiors that MSK<4> was the MSK<5> favored most by high MSK<2> MSK<3> . "
97,97,97,97,97,97,97,97,97,1444,We shouldn’t put her in jail even if she stole billions of pesos. She is already too old to be locked up.,appeal to emotion,We should n’t put MSK<0> in jail even if MSK<0> stole billions of pesos . MSK<0> is already too old to be locked up . 
98,98,98,98,98,98,98,98,98,1925,"You call the Marcoses murderers and plunderers yet you cannot lend me money for my school project, murdering my chance for a higher grade. You are just like them.",fallacy of relevance,"MSK<0> call MSK<1> yet MSK<0> can not lend MSK<2> money for MSK<2> school project , murdering MSK<2> chance for a higher grade . MSK<0> are just like MSK<1> . "
99,99,99,99,99,99,99,99,99,450,She took a drink from the drinking fountain yesterday and now she's sick. It must have been the public fountain that made her sick.,false causality,MSK<0> took MSK<1> from the drinking MSK<2> yesterday and now MSK<0> 's MSK<3> . MSK<1> must have been the public MSK<2> that made MSK<0> MSK<3> . 
100,100,100,100,100,100,100,100,100,1148,"""Her arguments against the protest were weak. After all, she can't be fair; she works for the government.""",ad hominem,""" MSK<0> arguments against the protest were weak . After all , MSK<0> ca n't be fair ; MSK<0> works for the government . "" "
101,101,101,101,101,101,101,101,101,1476,"""If you don't turn in your homework, you will be getting a call home.",appeal to emotion,""" If MSK<0> do n't turn in MSK<0> homework , MSK<0> will be getting a call home . "
102,102,102,102,102,102,102,102,102,1000,You can't believe Jack when he says there is a God because he doesn't even have a job.,ad hominem,You ca n't believe MSK<0> when MSK<0> says there is a God because MSK<0> does n't even have a job . 
103,103,103,103,103,103,103,103,103,1324,"""1 is a number and 2 is a number so 1 = 2""",fallacy of logic,""" MSK<0> is a MSK<1> and MSK<0> is a MSK<1> so MSK<0> = MSK<0> "" "
104,104,104,104,104,104,104,104,104,339,sending M-16s to Syrian rebels inevitably mean boots on the ground in Damascus.,faulty generalization,sending M - 16s to Syrian rebels inevitably mean boots on the ground in Damascus . 
105,105,105,105,105,105,105,105,105,428,"A rainbow appeared in the sky the day before basketball tryouts, and I made the team! If there's a rainbow when I try out in the spring, I'm sure I'll make the team again.",false causality,"MSK<0> appeared in the sky the day before basketball tryouts , and MSK<1> made MSK<2> ! If there 's MSK<0> when MSK<1> try out in the spring , MSK<1> 'm sure MSK<1> 'll make MSK<2> again . "
