,Unnamed: 0,source_article,logical_fallacies,masked_articles
19,19,"Even then , the report found that polar bears were moving from ice to land earlier and staying on land longer , unhealthily extending the bears ' fasting season . By the end of summer , most bears studied by the World Wildlife Fund showed signs of starvation . Fifteen years later , polar bears ' icy hunting grounds are in even worse shape .",['appeal to emotion'],"Even then , the report found that MSK<0> were moving from MSK<3> to MSK<1> earlier and staying on MSK<1> longer , unhealthily extending MSK<0> fasting season . By the end of summer , most MSK<2> studied by the World Wildlife Fund showed signs of starvation . Fifteen years later , polar MSK<2> ' MSK<3> hunting grounds are in even worse shape . "
20,20,"`` When scientists say bears are going extinct , I want people to realize what it looks like . Bears are going to starve to death , '' said Nicklen . ``",['appeal to emotion'],"MSK<0> When scientists say MSK<1> are going extinct , I want people to realize what it looks like . MSK<1> are going to starve to death , MSK<0> said Nicklen . MSK<0> "
21,21,"By telling the story of one polar bear , Nicklen hopes to convey a larger message about how a warming climate has deadly consequences .",['false causality'],"By telling the story of one polar bear , Nicklen hopes to convey a larger message about how a warming climate has deadly consequences . "
22,22,Species thrive when it is warm .,"['faulty generalization', 'fallacy of logic']",Species thrive when it is warm . 
23,23,"Renew­ables such as wind turbines are environmentally disastrous because they pollute a huge land area , slice and dice birds and bats , kill insects that are bird food , create health problems for humans who live within kilometres of them , leave toxins around the turbine site and despoil the landscape .",['intentional'],"MSK<0> are environmentally disastrous because MSK<0> pollute a huge land area , slice and dice MSK<1> and bats , kill insects that are MSK<1> food , create health problems for humans who live within kilometres of MSK<0> , leave toxins around the turbine site and despoil the landscape . "
24,24,Shorten refuses to tell us how he will spend our money or to give any detail on energy ­systems that are proven failures .,['fallacy of extension'],Shorten refuses to tell MSK<0> how he will spend MSK<0> money or to give any detail on energy systems that are proven failures . 
25,25,"A quick search would show him that whenever in the past there was an explosion of plant life , the carbon dioxide content was far higher than at present .","['intentional', 'fallacy of logic', 'false causality']","A quick search would show him that whenever in the past there was an explosion of plant life , the carbon dioxide content was far higher than at present . "
26,26,"A quick search would show him that whenever in the past there was an explosion of plant life , the carbon dioxide content was far higher than at present . If we halve the carbon dioxide content of the atmosphere , all life dies .",['faulty generalization'],"A quick search would show him that whenever in the past there was an explosion of plant MSK<0> , the MSK<3> was far higher than at present . If we halve the MSK<3> of the atmosphere , all MSK<0> dies . "
27,27,"There are measurable cycles with the sun , Earth ’ s orbit , oceans and moon that drive climate change , especially if cycles coincide . It has yet to be demonstrated that the climate change today is any different from those of the past .",['intentional'],"There are measurable MSK<0> with the sun , MSK<1> , oceans and moon that drive MSK<3> , especially if MSK<0> coincide . MSK<1> has yet to be demonstrated that the MSK<3> today is any different from those of the past . "
28,28,"Despite hundreds of billions of dollars of expenditure during the past few decades , it still has not been shown that human emissions of carbon dioxide drive ­global warming .",['intentional'],"Despite hundreds of billions of dollars of MSK<0> during the past few decades , MSK<0> still has not been shown that human emissions of carbon dioxide drive global warming . "
29,29,He should know that climate always changes and that the planet would be in serious trouble if it did not .,"['faulty generalization', 'fallacy of extension']",He should know that climate always changes and that MSK<0> would be in serious trouble if MSK<0> did not . 
30,30,"He would have learned that ­natural warm times , like now , bring great prosperity , increased longevity and less disease , whereas Jack Frost brings death , depopulation and economic stresses .","['faulty generalization', 'false causality']","He would have learned that natural warm times , like now , MSK<0> great prosperity , increased longevity and less disease , whereas Jack Frost MSK<0> death , depopulation and economic stresses . "
31,31,The amount of energy used to construct solar and wind facilities is greater than they produce in their working lives .,['intentional'],The amount of energy used to construct solar and wind facilities is greater than MSK<0> produce in MSK<0> working lives . 
32,32,"If he does , he is unelectable .",['ad hominem'],"If MSK<0> does , MSK<0> is unelectable . "
33,33,"In school science , Shorten would have learned carbon dioxide is the food of life and without this natural gas , which occurs in space and all planets , there would be no life .","['faulty generalization', 'fallacy of relevance']","In school science , Shorten would have learned carbon dioxide is the food of MSK<0> and without this natural gas , which occurs in space and all planets , there would be no MSK<0> . "
34,34,"These subsidies , paid by the long-suffering consumer and employer , add to emissions because coal-fired elec­tricity needs to be on standby for when there is no wind or sunshine .","['appeal to emotion', 'intentional', 'fallacy of logic']","These subsidies , paid by the long - suffering consumer and employer , add to emissions because coal - fired electricity needs to be on standby for when there is no wind or sunshine . "
35,35,"As soon as renewables were introduced into the grid , electric­ity prices increased and delivery became unreliable .",['false causality'],"As soon as renewables were introduced into the grid , electricity prices increased and delivery became unreliable . "
36,36,An increase in renewables will make matters worse .,['faulty generalization'],An increase in renewables will make matters worse . 
37,37,I have never written a blank cheque for a used car .,['fallacy of logic'],I have never written a blank cheque for a used car . 
38,38,"In biology , the Labor leader would have learned of Darwinism and environmental adapta­tion of species .",['fallacy of relevance'],"In biology , the Labor leader would have learned of Darwinism and environmental adaptation of species . "
39,39,"If he is knowingly promoting a falsehood , he is unelectable .",['ad hominem'],"If MSK<0> is knowingly promoting a falsehood , MSK<0> is unelectable . "
40,40,"Shorten should know that for thousands of millions of years the Earth has been changing , with cycles­ and one-off events such as an asteroid impact , super-volcano or a supernova explosion .","['fallacy of credibility', 'faulty generalization']","Shorten should know that for MSK<0> of MSK<0> of years the Earth has been changing , with cycles and one - off events such as an asteroid impact , super-volcano or a supernova explosion . "
41,41,"Does Shorten ’ s energy policy consider those who lose jobs and have the power cut off in his race to achieve 50 per cent renewables to fill the pockets of Labor union mates ? And what about the scams siphoning off tens of billions that slosh around the world as carbon credits , carbon trading and renewable energy certificates ?",['intentional'],"Does MSK<0> MSK<1> policy consider those who lose jobs and have the power cut off in MSK<0> race to achieve 50 per cent MSK<2> to fill the pockets of Labor union mates ? And what about the scams siphoning off tens of billions that slosh around the world as MSK<3> credits , MSK<3> trading and MSK<2> MSK<1> certificates ? "
42,42,"In July , the Greenland ice sheet experienced one of the most significant melting events in the past decade , losing more than 8.5 billion tons of surface mass in a single day , which was enough to submerge Florida in two inches of water .",['fallacy of relevance'],"In July , the Greenland ice sheet experienced one of the most significant melting events in the past decade , losing more than 8.5 billion tons of surface mass in a single day , which was enough to submerge Florida in two inches of water . "
43,43,"Two years ago , a polar bear made it to the Summit Station , which was unusual since polar bears live in coastal regions where they can easily find food .",['faulty generalization'],"Two years ago , MSK<0> made MSK<0> to the Summit Station , which was unusual since MSK<1> live in coastal regions where MSK<1> can easily find food . "
44,44,"Other unusual events have become more frequent , too , Mercer said . Two years ago , a polar bear made it to the Summit Station , which was unusual since polar bears live in coastal regions where they can easily find food . The bear had trekked several hundred miles inland across the ice sheet . In the last five years , Mercer said three polar bears have been sighted high on Greenland 's ice sheet .",['fallacy of relevance'],"Other MSK<0> events have become more frequent , too , MSK<1> said . Two MSK<2> ago , MSK<3> made MSK<3> to the Summit Station , which was MSK<0> since MSK<4> live in coastal regions where MSK<4> can easily find food . MSK<3> had trekked several hundred miles inland across the MSK<6> . In the last five MSK<2> , MSK<1> said three polar bears have been sighted high on Greenland 's MSK<6> . "
45,45,"The warm air fueled an extreme rain event that dumped 7 billion tons of water on the ice sheet , enough to fill the Reflecting Pool at the National Mall in Washington , DC , nearly 250,000 times .",['fallacy of relevance'],"The warm air fueled an extreme rain event that dumped 7 billion tons of water on the ice sheet , enough to fill the Reflecting Pool at the National Mall in MSK<0> , MSK<0> , nearly 250,000 times . "
46,46,Global sea level rose permanently by 1.5 millimeters as a result .,['faulty generalization'],Global sea level rose permanently by 1.5 millimeters as a result . 
47,47,"The theory is that tropical cyclones have slowed down in their speed by about 10 percent over the past 70 years due to a retreat of the jet stream farther north , depriving storms of steering currents and making them stall and keep raining in one location . This is what happened with Hurricane Harvey in Houston last year .",['false causality'],"The theory is that MSK<0> have slowed down in MSK<0> speed by about 10 percent over the past 70 MSK<1> due to a retreat of the jet stream farther north , depriving MSK<3> of MSK<2> and making MSK<2> stall and keep raining in one location . This is what happened with MSK<3> Harvey in Houston last MSK<1> . "
48,48,"But like most claims regarding global warming , the real effect is small , probably temporary , and most likely due to natural weather patterns .","['false causality', 'faulty generalization']","But like most claims regarding global warming , the real effect is small , MSK<0> temporary , and most MSK<0> due to natural weather patterns . "
49,49,"Any changes in hurricanes over 70 years , even if real , can easily be part of natural cycles — or incomplete data .",['false causality'],"Any changes in hurricanes over 70 years , even if real , can easily be part of natural cycles — or incomplete data . "
50,50,"Coastal lake sediments along the Gulf of Mexico shoreline from 1,000 to 2,000 years ago suggest more frequent and intense hurricanes than occur today .",['fallacy of relevance'],MSK<1> lake sediments along the Gulf of Mexico MSK<1> from MSK<0> to MSK<0> years ago suggest more frequent and intense hurricanes than occur today . 
51,51,"Until 2017 , the United States went 11 years without a major hurricane strike — something that is statistically very improbable .",['ad populum'],"Until 2017 , the United States went 11 years without a major hurricane strike — something that is statistically very improbable . "
52,52,"The monetary cost of damages has increased dramatically in recent decades , but that is due to increasing population , wealth and the amount of vulnerable infrastructure . It ’ s not due to stronger storms .",['false causality'],"MSK<0> has MSK<1> dramatically in recent decades , but MSK<0> is due to MSK<1> population , wealth and the amount of vulnerable infrastructure . MSK<0> ’ s not due to stronger storms . "
53,53,Natural variability is simply too large . This should not be surprising given that humanity ’ s greenhouse gas emissions have caused only a1 percent change in the natural energy flows coursing through the climate system .,['ad populum'],MSK<0> variability is simply too large . This should not be surprising given that humanity ’ s greenhouse gas emissions have caused only a1 percent change in the MSK<0> energy flows coursing through the climate system . 
54,54,"Even before Hurricane Florence made landfall somewhere near the border of North and South Carolina , predicted damage from potentially catastrophic flooding from the storm was already being blamed on global warming .",['fallacy of relevance'],"Even before MSK<1> Florence made landfall somewhere near the border of MSK<0> and MSK<0> Carolina , predicted damage from potentially catastrophic flooding from the MSK<1> was already being blamed on global warming . "
55,55,Now it ’ s fashionable to blame stalling hurricanes on global warming .,"['intentional', 'ad populum']",Now it ’ s fashionable to blame stalling hurricanes on global warming . 
56,56,"But examination of a weather map of the atmospheric flow at an altitude of 18,000 feet shows the jet stream is pushed farther south over western North America . This kind of natural variation in atmospheric flow is called weather , not climate change .",['intentional'],"But examination of a MSK<0> map of the MSK<2> at an altitude of 18,000 feet shows the jet stream is pushed farther MSK<3> over western MSK<3> America . This kind of natural variation in MSK<2> is called MSK<0> , not MSK<0> change . "
57,57,"Unusual things happen in nature sometimes The Massachusetts Bay Colony in 1635 experienced a Category 3 or 4 storm , with up to a 20-foot storm surge .",['fallacy of relevance'],"Unusual things happen in nature sometimes The Massachusetts Bay Colony in 1635 experienced a Category MSK<1> or MSK<1> MSK<0> , with up to a 20 - foot MSK<0> surge . "
58,58,"This kind of natural variation in atmospheric flow is called weather , not climate change .",['equivocation'],"This kind of natural variation in atmospheric flow is called MSK<0> , not MSK<0> change . "
59,59,"But I ’ m afraid , human nature being what it is , the thing gets exaggerated out of all proportion , and the greens have behaved deplorably instead of being reasonably sensible . ”",['ad hominem'],"But I ’ m afraid , MSK<0> being what MSK<0> is , the thing gets exaggerated out of all proportion , and the greens have behaved deplorably instead of being reasonably sensible . ” "
60,60,"So for now , nuclear energy is the only viable option .",['fallacy of logic'],"So for now , nuclear energy is the only viable option . "
61,61,"But all this , he clarifies cheerfully , is more or less academic . “ Because quite soon – before we ’ ve reached the end of this century , even – I think that what people call robots will have taken over.",['fallacy of relevance'],"But all this , he clarifies cheerfully , is more or less academic . “ Because quite soon MSK<0> before we ’ ve reached the end of this century , even MSK<0> I think that what people call robots will have taken over . "
62,62,"Oh well , it ’ s doing a good job designing itself , let ’ s encourage it. ’ ” Computers will develop independent volition and intuition ( “ To some extent , they already have ” ) and become capable of reproducing themselves , and of evolving . “",['faulty generalization'],"Oh well , it MSK<0> s doing MSK<1> , let MSK<0> s encourage MSK<1> . MSK<0> MSK<2> MSK<3> will develop independent volition and intuition ( MSK<2> To some extent , MSK<3> already have MSK<2> ) and become capable of reproducing MSK<3> , and of evolving . MSK<2> "
63,63,"A defiant generalist in an era of increasingly specialised study , and a mischievous provocateur , Lovelock is regarded by many as a scientific genius .","['fallacy of credibility', 'ad populum']","A defiant generalist in an era of increasingly specialised study , and a mischievous provocateur , Lovelock is regarded by many as a scientific genius . "
64,64,"But isn ’ t that exactly what he did last time we met ? “ I know , ” he grins teasingly . “ But I ’ ve grown up a bit since then . ”",['intentional'],"But isn MSK<0> t that exactly what MSK<1> did last time we met ? MSK<2> MSK<3> know , MSK<2> MSK<1> grins teasingly . MSK<2> But MSK<3> MSK<0> ve grown up a bit since then . MSK<2> "
65,65,"He now says : “ Anyone who tries to predict more than five to 10 years is a bit of an idiot , because so many things can change unexpectedly. ”","['ad hominem', 'intentional']","He now says : MSK<0> Anyone who tries to predict more than five to 10 years is a bit of an idiot , because so many things can change unexpectedly . MSK<0> "
66,66,"It ’ s two-and-a-half times higher than the worst-case scenario for climate change , and it ’ s one of the most desirable cities in the world to live in . ”","['false causality', 'fallacy of relevance']","MSK<1> s two - and - a-half times higher than the worst - case scenario for climate change , and MSK<1> s one of the most desirable cities in the world to live in . ” "
67,67,You ’ ve only got to look at Singapore .,['intentional'],You ’ ve only got to look at Singapore . 
68,68,"The fashionable hope that windfarms or recycling could prevent global famine and mass migration was , he assured me , a fantasy ; it was too late for ethical consumption to save us .",['faulty generalization'],"MSK<0> was , he assured me , a fantasy ; MSK<0> was too late for ethical consumption to save us . "
69,69,"Before the end of this century , 80 % of the world ’ s population would be wiped out .",['faulty generalization'],"Before the end of this century , 80 % of the world ’ s population would be wiped out . "
70,70,"His Gaia hypothesis , which contends that the earth is a single , self-regulating organism , is now accepted as the founding principle of most climate science , and his invention of a device to detect CFCs helped identify the hole in the ozone layer .",['intentional'],"MSK<0> Gaia hypothesis , which contends that the earth is a single , self - regulating organism , is now accepted as the founding principle of most climate science , and MSK<0> invention of a device to detect CFCs helped identify the hole in the ozone layer . "
71,71,"All things being equal – “ and it ’ s only got to take one sizable volcano to erupt and all the models , everything else , is right off the board ” – he expects that before the consequences of global warming can impact on us significantly , something else will have made our world unrecognisable , and threaten the human race .",['faulty generalization'],"All things being equal MSK<0> MSK<2> and it ’ s only got to take one sizable volcano to erupt and all the models , everything else , is right off the board MSK<2> MSK<0> he expects that before the consequences of global warming can impact on MSK<1> significantly , something else will have made MSK<1> world unrecognisable , and threaten the human race . "
72,72,"Lovelock maintains that , unlike most environmentalists , he is a rigorous empiricist , but it is manifestly clear that he enjoys maddening the green movement . “ Well , it ’ s a religion , really , you see . It ’ s totally unscientific. ”",['ad hominem'],"MSK<0> maintains that , unlike most environmentalists , MSK<0> is a rigorous empiricist , but MSK<1> is manifestly clear that MSK<0> enjoys maddening the green movement . MSK<3> Well , MSK<1> MSK<2> s a religion , really , you see . MSK<1> MSK<2> s totally unscientific . MSK<3> "
73,73,"He pauses to do some quick mental arithmetic , as casually as I might tot up how many pints of milk to grab from Sainsburys .",['fallacy of credibility'],"He pauses to do some quick mental arithmetic , as casually as I might tot up how many pints of milk to grab from Sainsburys . "
74,74,The implications for climate change are obvious . “ The world that they ’ re going to be comfortable in is wildly different from the one that we feel comfortable in .,"['faulty generalization', 'fallacy of relevance']",The implications for climate change are obvious . “ The world that they ’ re going to be MSK<0> in is wildly different from the one that we feel MSK<0> in . 
75,75,"It is not difficult to imagine that conflicts arising from forced migrations and economic collapse might make the planet ungovernable , threatening the fabric of civilization . ”",['faulty generalization'],"It is not difficult to imagine that conflicts arising from forced migrations and economic collapse might make the planet ungovernable , threatening the fabric of civilization . ” "
76,76,"Even as global ocean temperatures rise to their highest levels in recorded history , some parts of the ocean , near where ice is melting exceptionally fast , are actually cooling , slowing ocean circulation currents and sending weather patterns into a frenzy . Sure enough , a persistently cold patch of ocean is starting to show up just south of Greenland , exactly where previous experimental predictions of a sudden surge of freshwater from melting ice expected it to be .",['false causality'],"Even as MSK<0> rise to MSK<0> highest levels in recorded history , some parts of the MSK<1> , near where MSK<2> is MSK<3> exceptionally MSK<4> , are actually cooling , MSK<4> MSK<1> circulation currents and sending weather patterns into a frenzy . Sure enough , a persistently cold patch of MSK<1> is starting to show up just south of Greenland , exactly where previous experimental predictions of a sudden surge of freshwater from MSK<3> MSK<2> expected it to be . "
77,77,"Salmon are crucial to their coastal ecosystem like perhaps few other species on the planet . A significant portion of the nitrogen in West Coast forests has been traced back to salmon , which can travel hundreds of miles upstream to lay their eggs . The largest trees on Earth simply wouldn ’ t exist without salmon .",['fallacy of logic'],"MSK<0> are crucial to their MSK<2> ecosystem like perhaps few other species on the MSK<3> . A significant portion of the nitrogen in West MSK<2> forests has been traced back to MSK<0> , which can travel MSK<1> upstream to lay MSK<1> eggs . The largest trees on MSK<3> simply wouldn ’ t exist without MSK<0> . "
78,78,"“ The climate [ change ] models predict this gentle , slow increase in temperature , ” says Peterson , “ but the main problem we ’ ve had for the last few years is the variability is so high . As scientists , we can ’ t keep up with it , and neither can the animals. ” Peterson likens it to a boxer getting pummeled round after round : “ At some point , you knock them down , and the fight is over . ” Attendant with this weird wildlife behavior is a stunning drop in the number of plankton — the basis of the ocean ’ s food chain .",['fallacy of logic'],"MSK<0> The climate [ change ] models predict this gentle , slow increase in temperature , MSK<0> says MSK<1> , MSK<0> but the main problem MSK<2> MSK<3> ve had for the last few years is MSK<4> is so high . As scientists , MSK<2> can MSK<3> t keep up with MSK<4> , and neither can the animals . MSK<0> MSK<1> likens MSK<4> to a boxer getting pummeled MSK<5> after MSK<5> : MSK<0> At some point , you knock them down , and the fight is over . MSK<0> Attendant with this weird wildlife behavior is a stunning drop in the number of plankton — the basis of the ocean MSK<3> s food chain . "
79,79,"As sea levels rise in the next century , even a $ 3 billion wall won ’ t keep Lower Manhattan above water .",['appeal to emotion'],"As sea levels rise in the next century , even a $ 3 billion wall won ’ t keep Lower Manhattan above water . "
80,80,“ Why do we keep getting so many record-warm years ? ” Dr. Schmidt asked in an interview . “ It ’ s because the planet is warming .,['circular reasoning'],MSK<0> Why do we keep getting so many record - MSK<1> years ? MSK<0> Dr. Schmidt asked in an interview . MSK<0> It ’ s because the planet is MSK<1> . 
81,81,"John R. Christy , an atmospheric scientist at the University of Alabama in Huntsville who is known for his skepticism about the seriousness of global warming , pointed out in an interview that 2014 had surpassed the other record-warm years by only a few hundredths of a degree , well within the error margin of global temperature measurements . “ Since the end of the 20th century , the temperature hasn ’ t done much , ” Dr. Christy said . “ It ’ s on this kind of warmish plateau . ” Despite such arguments from a handful of scientists , the vast majority of those who study the climate say the earth is in a long-term warming trend that is profoundly threatening and caused almost entirely by human activity .",['intentional'],"John R. Christy , an atmospheric MSK<0> at the University of Alabama in Huntsville who is known for MSK<1> skepticism about the seriousness of MSK<2> MSK<3> , pointed out in an interview that MSK<6> had surpassed the other record - MSK<3> MSK<6> by only a few hundredths of a degree , well within the error margin of MSK<2> temperature measurements . MSK<4> Since the end of the 20th century , MSK<5> done much , MSK<4> MSK<1> said . MSK<4> MSK<5> ’ s on this kind of MSK<3> plateau . MSK<4> Despite such arguments from a handful of MSK<0> , the vast majority of those who study the climate say the earth is in a long - term MSK<3> trend that is profoundly threatening and caused almost entirely by human activity . "
82,82,Exit Glacier has been shrinking for 200 years — since 1815 — long before widespread industrialization and automobiles .,"['fallacy of logic', 'equivocation', 'fallacy of credibility']",Exit Glacier has been shrinking for 200 years MSK<0> since 1815 MSK<0> long before widespread industrialization and automobiles . 
83,83,"Sounding more like an Old Testament doomsayer than a president , Obama warned in his Alaska speech that unless carbon fuels are restricted , “ we will condemn our children to a planet beyond their capacity to repair : Submerged countries .","['ad hominem', 'ad hominem']","Sounding more like an Old Testament doomsayer than a president , MSK<0> warned in MSK<0> Alaska speech that unless carbon fuels are restricted , “ MSK<1> will condemn MSK<1> to a planet beyond coref2 capacity to repair : Submerged countries . "
84,84,"News flash , Mr. President : Alaska has been buffeted by cyclical swings in climate for thousands of years . That ’ s true for the rest of the world , too . There was a 300-year-long Medieval heat wave , followed by a Little Ice Age that began around 1300 , and then the 300-year warming period we ’ re in now .",['intentional'],"News flash , Mr. President : Alaska has been buffeted by cyclical swings in climate for thousands of MSK<0> . That MSK<1> s true for the rest of the world , too . There was a MSK<2> - MSK<0> - long Medieval heat wave , followed by a Little Ice Age that began around MSK<2> , and then the MSK<2> - MSK<0> warming period we MSK<1> re in now . "
85,85,The Alaska Climate Research Center reports almost no evidence of warming trends in Alaska since 1977 .,['intentional'],The MSK<0> Climate Research Center reports almost no evidence of warming trends in MSK<0> since 1977 . 
86,86,"No matter what humans do , temperature trends go up , and then down ; glaciers expand and then recede ; sea levels rise and then fall , explains Will Happer , professor emeritus of physics at Princeton .",['intentional'],"No matter what humans do , temperature trends go up , and then down ; glaciers expand and then recede ; sea levels rise and then fall , explains Will Happer , professor emeritus of physics at Princeton . "
87,87,But don ’ t blame climate change on humans . There are bigger forces at work here .,['intentional'],But don ’ t blame climate change on humans . There are bigger forces at work here . 
88,88,"How about the epidemic of cop shootings in the United States , or the drowned toddlers washing up on Mediterranean shores as families flee the Middle East , or ISIS beheading thousands of Christians ?","['fallacy of extension', 'intentional']","How about the epidemic of cop shootings in the United States , or the drowned toddlers washing up on Mediterranean shores as families flee the Middle East , or ISIS beheading thousands of Christians ? "
89,89,"President Obama hiked to Exit Glacier in Alaska last week , with photographers in tow , to send the world a message :",['fallacy of relevance'],"President Obama hiked to Exit Glacier in Alaska last week , with photographers in tow , to send the world a message : "
90,90,"The photo op was designed to build support for an international climate agreement he ’ s pushing hard to sell , so far with little success .",['fallacy of relevance'],"The photo op was designed to build support for an international climate agreement he ’ s pushing hard to sell , so far with little success . "
91,91,"News flash , Mr. President : Alaska has been buffeted by cyclical swings in climate for thousands of years .",['fallacy of credibility'],"News flash , Mr. President : Alaska has been buffeted by cyclical swings in climate for thousands of years . "
92,92,"There was a 300-year-long Medieval heat wave , followed by a Little Ice Age that began around 1300 , and then the 300-year warming period we ’ re in now .",['fallacy of credibility'],"There was a MSK<0> - MSK<1> - long Medieval heat wave , followed by a Little Ice Age that began around MSK<0> , and then the MSK<0> - MSK<1> warming period we ’ re in now . "
93,93,Many scientists are predicting the onset of two or three centuries of cooler weather — which would mean bigger glaciers .,['fallacy of credibility'],Many scientists are predicting the onset of two or three centuries of cooler weather — which would mean bigger glaciers . 
94,94,That ’ s despite the world ’ s growing use of fossil fuels .,['fallacy of logic'],That MSK<1> despite the world MSK<1> growing use of fossil fuels . 
95,95,That doesn ’ t mean pollution controls are futile . We all want to breathe clean air .,['fallacy of relevance'],That doesn ’ t mean MSK<0> MSK<0> are futile . We all want to breathe MSK<0> MSK<0> . 
96,96,"Amid all this controversy and uncertainty about global climate change , Obama blindly insists that his theory of global warming “ is beyond dispute ” and attacks his critics as “ deniers . ”",['ad hominem'],"Amid all this MSK<3> and uncertainty about MSK<0> climate change , MSK<1> blindly insists that MSK<1> theory of MSK<0> warming MSK<2> is beyond MSK<3> MSK<2> and attacks MSK<1> critics as MSK<2> deniers . MSK<2> "
97,97,It ’ s a demonstration of Obama ’ s appalling lack of priorities .,['ad hominem'],It MSK<0> s a demonstration of Obama MSK<0> s appalling lack of priorities . 
